2021-10-09 21:11:08.358 [http-nio-8080-exec-3] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.360 [http-nio-8080-exec-46] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.362 [http-nio-8080-exec-12] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.365 [http-nio-8080-exec-83] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.373 [http-nio-8080-exec-37] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.375 [http-nio-8080-exec-96] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.381 [http-nio-8080-exec-16] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.383 [http-nio-8080-exec-44] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.384 [http-nio-8080-exec-89] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.386 [http-nio-8080-exec-87] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.396 [http-nio-8080-exec-48] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.398 [http-nio-8080-exec-13] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.399 [http-nio-8080-exec-60] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.404 [http-nio-8080-exec-64] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.422 [http-nio-8080-exec-31] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
2021-10-09 21:11:08.424 [http-nio-8080-exec-6] INFO  c.e.x.r.controller.BindingResultGoodsController - 商品名称不能为空
